Date,Bull,Neutral,Bear
7-2-20,0.221519,0.31962,0.458861
6-25-20,0.241379,0.269592,0.489028
6-18-20,0.243671,0.278481,0.477848
6-11-20,0.342767,0.27673,0.380503
6-4-20,0.345515,0.265781,0.388704
5-28-20,0.330709,0.248031,0.42126
5-21-20,0.290043,0.25974,0.450216
5-14-20,0.233129,0.260736,0.506135
5-7-20,0.236686,0.236686,0.526627
4-30-20,0.30597,0.253731,0.440299
4-23-20,0.248634,0.251366,0.5
4-16-20,0.348601,0.223919,0.427481
4-9-20,0.365994,0.18732,0.446686
4-2-20,0.342391,0.160326,0.497283
3-26-20,0.329016,0.150259,0.520725
3-19-20,0.343511,0.145038,0.51145
3-12-20,0.297386,0.189542,0.513072
3-5-20,0.387387,0.216216,0.396396
2-27-20,0.304348,0.304348,0.391304
2-20-20,0.405594,0.307692,0.286713
2-13-20,0.413333,0.322667,0.264
2-6-20,0.33871,0.30914,0.352151
1-30-20,0.319783,0.311653,0.368564
1-23-20,0.456019,0.296296,0.247685
1-16-20,0.418338,0.30659,0.275072
1-9-20,0.330688,0.37037,0.298942
1-2-20,0.372159,0.409091,0.21875
12-26-19,0.418879,0.365782,0.215339
12-19-19,0.440945,0.354331,0.204724
12-12-19,0.376316,0.363158,0.260526
12-5-19,0.317152,0.391586,0.291262
11-29-19,0.336391,0.360856,0.302752
11-21-19,0.342432,0.367246,0.290323
11-14-19,0.407229,0.344578,0.248193
11-7-19,0.403023,0.357683,0.239295
10-31-19,0.339759,0.375904,0.284337
10-24-19,0.356021,0.361257,0.282723
10-17-19,0.336182,0.353276,0.310541
10-10-19,0.203085,0.357326,0.439589
10-3-19,0.21374,0.391858,0.394402
9-26-19,0.293737,0.37365,0.332613
9-19-19,0.353383,0.368421,0.278195
9-12-19,0.33125,0.35625,0.3125
9-5-19,0.28642,0.318519,0.395062
8-29-19,0.261307,0.316583,0.422111
8-22-19,0.266355,0.336449,0.397196
8-15-19,0.23176,0.319742,0.448498
8-8-19,0.216561,0.301486,0.481953
8-1-19,0.384375,0.375,0.240625
7-25-19,0.317416,0.36236,0.320225
7-18-19,0.359296,0.354271,0.286432
7-11-19,0.336111,0.388889,0.275
7-3-19,0.331551,0.34492,0.323529
6-27-19,0.29589,0.383562,0.320548
6-20-19,0.295082,0.383607,0.321311
6-13-19,0.268398,0.38961,0.341991
6-6-19,0.225275,0.348901,0.425824
5-30-19,0.247934,0.35124,0.400826
5-23-19,0.247059,0.392157,0.360784
5-16-19,0.298246,0.308772,0.392982
5-9-19,0.431159,0.336957,0.231884
5-2-19,0.390244,0.396341,0.213415
4-25-19,0.335227,0.463068,0.201705
4-18-19,0.375635,0.406091,0.218274
4-11-19,0.402878,0.393285,0.203837
4-4-19,0.350211,0.367089,0.2827
3-28-19,0.332,0.396,0.272
3-21-19,0.373016,0.392857,0.234127
3-14-19,0.324232,0.365188,0.31058
3-7-19,0.37386,0.358663,0.267477
2-28-19,0.416327,0.383673,0.2
2-21-19,0.393189,0.352941,0.25387
2-14-19,0.351032,0.39823,0.250737
2-7-19,0.398734,0.373418,0.227848
1-31-19,0.317568,0.364865,0.317568
1-24-19,0.37659,0.300254,0.323155
1-17-19,0.335347,0.302115,0.362538
1-10-19,0.384615,0.321678,0.293706
1-3-19,0.330189,0.242138,0.427673
12-27-18,0.315476,0.181548,0.502976
